,obs_val,pred_val,signal
2022-01-20 01:50:00,1.48,1.8783436584472657,-1
2022-01-20 01:55:00,1.51,1.9108689880371095,-1
2022-01-20 02:00:00,1.55,1.9408138275146485,-1
2022-01-20 02:05:00,1.59,1.971442642211914,-1
2022-01-20 02:10:00,1.63,2.0027083587646484,-1
2022-01-20 02:15:00,1.67,2.034423522949219,-1
2022-01-20 02:20:00,1.71,2.068893814086914,-1
2022-01-20 02:25:00,1.74,2.099908676147461,-1
2022-01-20 02:30:00,1.78,2.13154296875,-1
2022-01-20 02:35:00,1.82,2.1677175903320314,-1
2022-01-20 02:40:00,1.86,2.2065101623535157,-1
2022-01-20 02:45:00,1.9,2.2416689300537107,-1
2022-01-20 02:50:00,1.94,2.2792543029785155,-1
2022-01-20 02:55:00,1.97,2.3192263793945314,-1
2022-01-20 03:00:00,2.01,2.3553892517089845,-1
2022-01-20 03:05:00,2.05,2.3982807922363283,-1
2022-01-20 03:10:00,2.09,2.4364898681640623,-1
2022-01-20 03:15:00,2.14,2.4729965209960936,-1
2022-01-20 03:20:00,2.18,2.513941192626953,-1
2022-01-20 03:25:00,2.22,2.5542507934570313,-1
2022-01-20 03:30:00,2.26,2.5900631713867184,-1
2022-01-20 03:35:00,2.3,2.6321388244628903,-1
2022-01-20 03:40:00,2.34,2.6694950866699214,-1
2022-01-20 03:45:00,2.38,2.704272003173828,-1
2022-01-20 03:50:00,2.42,2.7445118713378904,-1
2022-01-20 03:55:00,2.46,2.77423843383789,-1
2022-01-20 04:00:00,2.5,2.812628936767578,-1
2022-01-20 04:05:00,2.54,2.84500259399414,-1
2022-01-20 04:10:00,2.58,2.8763954162597654,-1
2022-01-20 04:15:00,2.62,2.9107582092285154,-1
2022-01-20 04:20:00,2.66,2.9405419921875,-1
2022-01-20 04:25:00,2.7,2.9696546936035153,-1
2022-01-20 04:30:00,2.74,2.9995869445800776,-1
2022-01-20 04:35:00,2.78,3.026829528808593,-1
2022-01-20 04:40:00,2.82,3.0547242736816402,-1
2022-01-20 04:45:00,2.86,3.0818870544433588,-1
